year,month,port,volume,unit
2019,11,imbituba,0,ton
2019,11,santana,0,ton
2019,11,barra-dos-coqueiros,0,ton
2019,12,santos,267473,ton
2019,12,paranagua,779328,ton
2019,12,rio-grande,584188,ton
2019,12,itaqui,135502,ton
2019,12,sao-francisco,264139,ton
2019,12,vitoria,391273,ton
2019,12,itacoatiara,86806,ton
2019,12,santarem,0,ton
2019,12,vila-do-conde,27961,ton
2019,12,aratu,0,ton
2019,12,ilheus,0,ton
2019,12,imbituba,70783,ton
2019,12,santana,0,ton
2019,12,barra-dos-coqueiros,0,ton
2020,1,santos,477267,ton
2020,1,paranagua,320182,ton
2020,1,rio-grande,259794,ton
2020,1,itaqui,65634,ton
2020,1,sao-francisco,65764,ton
2020,1,vitoria,57697,ton
2020,1,itacoatiara,115297,ton
2020,1,santarem,175756,ton
2020,1,vila-do-conde,41750,ton
2020,1,aratu,30538,ton
2020,1,ilheus,0,ton
2020,1,imbituba,0,ton
2020,1,santana,0,ton
2020,1,barra-dos-coqueiros,0,ton
2020,2,santos,2731282,ton
2020,2,paranagua,1077196,ton
2020,2,rio-grande,65430,ton
2020,2,itaqui,341489,ton
2020,2,sao-francisco,397948,ton
2020,2,vitoria,139909,ton
2020,2,itacoatiara,452501,ton
2020,2,santarem,519194,ton
2020,2,vila-do-conde,822112,ton
2020,2,aratu,0,ton
2020,2,ilheus,0,ton
2020,2,imbituba,68357,ton
2020,2,santana,0,ton
2020,2,barra-dos-coqueiros,0,ton
2020,3,santos,4300463,ton
2020,3,paranagua,2159898,ton
2020,3,rio-grande,1024940,ton
2020,3,itaqui,1171615,ton
2020,3,sao-francisco,802916,ton
2020,3,vitoria,513289,ton
2020,3,itacoatiara,538241,ton
2020,3,santarem,756952,ton
2020,3,vila-do-conde,1536233,ton
2020,3,aratu,275199,ton
2020,3,ilheus,0,ton
2020,3,imbituba,166425,ton
2020,3,santana,79152,ton
2020,3,barra-dos-coqueiros,0,ton
2020,4,santos,4550859,ton
2020,4,paranagua,2246744,ton
2020,4,rio-grande,1678162,ton
2020,4,itaqui,1168238,ton
2020,4,sao-francisco,869395,ton
2020,4,vitoria,680863,ton
2020,4,itacoatiara,437362,ton
2020,4,santarem,662782,ton
2020,4,vila-do-conde,1547628,ton
2020,4,aratu,350571,ton
2020,4,ilheus,0,ton
2020,4,imbituba,0,ton
2020,4,santana,67246,ton
2020,4,barra-dos-coqueiros,0,ton
2020,5,santos,4152553,ton
2020,5,paranagua,2087823,ton
2020,5,rio-grande,1728980,ton
2020,5,itaqui,1582298,ton
2020,5,sao-francisco,645032,ton
2020,5,vitoria,549823,ton
2020,5,itacoatiara,516447,ton
2020,5,santarem,683655,ton
2020,5,vila-do-conde,1564945,ton
2020,5,aratu,276531,ton
2020,5,ilheus,29859,ton
2020,5,imbituba,97370,ton
2020,5,santana,0,ton
2020,5,barra-dos-coqueiros,0,ton
2020,6,santos,3179127,ton
2020,6,paranagua,1349157,ton
2020,6,rio-grande,1584900,ton
2020,6,itaqui,1363162,ton
2020,6,sao-francisco,856380,ton
2020,6,vitoria,573567,ton
2020,6,itacoatiara,377322,ton
2020,6,santarem,570589,ton
2020,6,vila-do-conde,1397124,ton
2020,6,aratu,344580,ton
2020,6,ilheus,30000,ton
2020,6,imbituba,138650,ton
2020,6,santana,0,ton
2020,6,barra-dos-coqueiros,0,ton
